scheduler,seed,cards,tasks,arrival_mode,bw_cap,card_cv,card_jfi,card_lif,max_min_ratio,avg_load_imbalance,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,avg_delay,p99_delay_excl_cold,avg_delay_excl_cold,avg_congestion_ratio,congested_card_tick_frac,mean_congestion_wait_ticks,p95_congestion_wait_ticks,avg_utilization,peak_backlog,time_card_cv_mean,time_card_cv_max,time_card_jfi_mean,time_card_lif_mean,time_card_lif_max,time_card_max_min_ratio_mean,time_card_load_variance_mean,completed_tasks,tail_count,tail_frac,max_delay,avg_delay_above_p99,max_delay_excl_cold,eff_tail_count,eff_tail_frac,eff_avg_delay_above_p99,fingerprint_set
rr,21,16,3200,poisson,900000.0,0.4359936660268669,0.837483157305556,1.537974031772028,13.307366292751611,63289800983.36023,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.285,15.0,5.285,0.11549753401297971,0.302606783919598,1.195,3.0,0.6638075465208187,2667063.578125,0.4474944100528812,0.49580145732260844,0.8330628006012912,1.507827162075801,1.5942153301958994,66.65170497642038,71347342907.61009,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,42,16,3200,poisson,900000.0,0.4268120058193634,0.8430683575192126,1.533427804877486,12.467747462408768,62172059124.07329,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11921255430593167,0.30874060150375937,1.2265625,3.0,0.664757135821358,2982217.9111328125,0.43946939314441735,0.49510751124458857,0.8379951064927897,1.505566001271732,1.6211672986752739,59.227428034406586,68998603402.56554,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,99,16,3200,poisson,900000.0,0.4196164444709222,0.8482004541257123,1.5164004188237614,10.793679982695181,61978933340.23162,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.12132831672458198,0.31140350877192985,1.235625,3.0,0.6690395400490224,3011108.96875,0.42889360468566684,0.4696252417584244,0.8445074861501198,1.4961413662891059,1.5915413921855674,60.83710940024163,66557153891.44974,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,123,16,3200,poisson,900000.0,0.43317400878978424,0.8400742735312949,1.5395979480754782,12.386249951858696,63224585736.51675,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.12148909549858043,0.3074874686716792,1.2496875,3.0,0.6593035570430729,3173730.2392578125,0.4421827257757146,0.4921487391032112,0.836331814485097,1.5188132015911378,1.6544510502594723,56.57452074301481,68676180547.34093,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,2024,16,3200,poisson,900000.0,0.4335240390764944,0.8396838790751544,1.5354993804853019,11.607361699316057,62954354837.55714,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11819514383376345,0.30357142857142855,1.2046875,3.0,0.6617451043532905,3173730.2392578125,0.44280848487000674,0.4982995966574186,0.8359204286154721,1.5134655178661176,1.6447201642460028,59.981972362281354,69321143759.57138,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,21,16,3200,bursty,900000.0,0.5269342579834115,0.7750783355597838,1.9295413679557802,22.32979614993499,56499789627.728745,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.33625,15.0,5.33625,0.1342974859116855,0.33668341708542715,1.5746875,4.0,0.6115553649829074,3235156.828125,0.5790226130139027,0.6350382482862912,0.7489167428755537,1.6369162047845967,1.7663064248131266,67.50000164794926,101384992028.29625,3200,5,0.0015625,16.0,16.0,16.0,5,0.0015625,16.0,mixed
rr,42,16,3200,bursty,900000.0,0.5380666386490673,0.7680625151047569,1.9300743001809915,24.029189968502912,57978574205.61979,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.3471875,15.0,5.3471875,0.11997015277265102,0.3081140350877193,1.5634375,4.0,0.596020917262877,3308189.634765625,0.5881265218376348,0.641358296438442,0.743011070317175,1.6805769157292896,1.7925723160658964,68.42606877130108,99191289883.65762,3200,4,0.00125,16.0,16.0,16.0,4,0.00125,16.0,mixed
rr,99,16,3200,bursty,900000.0,0.49385451742288505,0.7929723738560314,1.8253743387335863,17.57178812146358,56288495331.5645,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.4265625,15.0,5.4265625,0.12967021243851684,0.32957393483709274,1.5559375,3.0,0.6225915679379248,3343352.828125,0.5467992448492289,0.5991150561208686,0.7698095957687197,1.6070499716477538,1.6892600902472399,67.50000164794926,93813363225.6289,3200,12,0.00375,19.0,17.583333333333332,19.0,12,0.00375,17.583333333333332,mixed
rr,123,16,3200,bursty,900000.0,0.5061753886175332,0.7856078829882305,1.8342212088985443,21.044872997128095,57556545160.75337,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.3703125,15.0,5.3703125,0.12113146921294285,0.31265664160401,1.5209375,3.0,0.6137767547763792,3113320.71875,0.5556140950947406,0.6205059774218843,0.7640413411481737,1.6315529102003685,1.7502195470576092,67.50000164794926,93877882515.52077,3200,6,0.001875,19.0,17.5,19.0,6,0.001875,17.5,mixed
rr,2024,16,3200,bursty,900000.0,0.5080792551267789,0.7821231249124841,1.907876573086619,21.837780686417545,55064619292.79405,1.0,6.072106261859583,6.072106261859583,0.0,16.009999999999764,5.68,16.009999999999764,5.68,0.14205937923429793,0.34649122807017546,1.6940625,4.0,0.6164787851950705,3764905.900390625,0.5698820452206272,0.5945901335464303,0.7548445478230059,1.6231745801738642,1.6875245805196297,67.50000164794926,99860869353.10837,3200,32,0.01,23.0,19.0625,23.0,32,0.01,19.0625,mixed
rr,21,16,3200,mixed,900000.0,0.4425184404967217,0.8340203386067854,1.5449366881827806,13.803746881637512,65075610221.190994,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11520152203801667,0.3016917293233083,1.1959375,3.0,0.658214223367834,3011108.96875,0.452909261188389,0.4916665057667386,0.8297256701787774,1.5206036147714452,1.608973094761596,67.50000164794926,71860714174.69511,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,42,16,3200,mixed,900000.0,0.4302847139195455,0.841593287827992,1.524301159938752,11.094127961075905,63959042462.09675,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11810340771043079,0.31140350877192985,1.199375,3.0,0.6664999154006164,3173730.2392578125,0.4401107778934159,0.4926183933178461,0.8376482131955901,1.5016389620082535,1.6071311797234975,62.029922162671575,69594580638.0509,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,99,16,3200,mixed,900000.0,0.4241321115691807,0.8457228251811502,1.507049219306923,11.73491028549317,62293126454.22322,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.285,15.0,5.285,0.12133308042244484,0.314070351758794,1.225625,3.0,0.6713039630897134,3011108.96875,0.4322833205430877,0.44777460093085275,0.8424970995579437,1.4903441398293986,1.5466643772829658,67.50000164794926,68179757130.65405,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,123,16,3200,mixed,900000.0,0.43539923506583506,0.8383238129261502,1.537474664699905,14.584645969294765,63190081759.516495,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.285,15.0,5.285,0.12154812584045897,0.3129711055276382,1.239375,3.0,0.6627225336540219,3033730.2705078125,0.44663473367388695,0.46789614968106036,0.8336430041566867,1.5093441550466147,1.5539178719094529,67.50000164794926,70952725275.71017,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,2024,16,3200,mixed,900000.0,0.4342636306264633,0.8392801955066754,1.5491146102465736,13.675167042280446,62405181632.91608,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.12017034560906158,0.3005952380952381,1.24875,3.0,0.6565993107089556,3011108.96875,0.4440382727887616,0.46280842871402034,0.8352473363289854,1.5235747419532006,1.5929087347583752,102.1027684983232,68842574082.12814,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,21,16,3200,poisson,900000.0,0.38709362339481335,0.8667892039647714,1.5631974832538917,6.808850125160604,49484712010.944336,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.2878125,15.0,5.2878125,0.10927392795618622,0.27292713567839194,1.0490625,3.0,0.6542814037431623,2748251.78125,0.40286990297917213,0.4694664961130586,0.8599888113466643,1.5299343657174465,1.5984817623804886,33.97140569579237,56455404594.530556,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,42,16,3200,poisson,900000.0,0.3890576006949384,0.8658215008491148,1.5697433163054084,7.547081391001646,49421348597.232834,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2909375,15.0,5.2909375,0.10500128663119998,0.2677005012531328,1.0128125,3.0,0.6506666223278806,2748251.78125,0.40523239368245423,0.45611410049297346,0.8585659307025179,1.5379909637134672,1.6243833610341651,36.01554584714703,56463641249.004036,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,99,16,3200,poisson,900000.0,0.38369032294515426,0.8694691900131533,1.5417550173572685,5.739588448663693,49758466792.26231,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2859375,15.0,5.2859375,0.11025378800452995,0.27647243107769426,1.048125,3.0,0.6586133297424401,2930750.796875,0.39526214467217563,0.4550189443110056,0.8645548358323808,1.5203946392353465,1.622409237273865,23.312354720709564,54894144181.12431,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,123,16,3200,poisson,900000.0,0.3895898078659067,0.865919520362744,1.5695332266859763,6.504128432652366,49252178220.24224,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2875,15.0,5.2875,0.10570456317491157,0.2642543859649123,1.024375,3.0,0.6475911963555195,2751108.90625,0.40224798927331706,0.45738659192495246,0.8603572565469007,1.5446196559611156,1.5877046511427775,32.59999407638087,55151172965.173355,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,2024,16,3200,poisson,900000.0,0.3909367110401625,0.8652327178416739,1.568961002410176,6.86700842149105,49620437401.80354,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2890625,15.0,5.2890625,0.10528096854195096,0.262531328320802,1.010625,3.0,0.6483623239432335,2947411.78125,0.4026369649019791,0.4839746027770667,0.8600040619043496,1.544887237855229,1.6534065207017985,32.758176811928394,55285745919.44658,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,21,16,3200,bursty,900000.0,0.4751824650116144,0.8059001043285858,1.9128382318562271,15.496071244642808,46655471351.02754,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.3990625,15.0,5.3990625,0.12418870504588171,0.3280464824120603,1.3665625,3.0,0.6159197893919058,3079018.91015625,0.5484036962199044,0.6701833150614315,0.7687344986757474,1.6280775166820718,1.8075580139533387,61.900400639776095,91910891205.89914,3200,6,0.001875,17.0,16.333333333333332,17.0,6,0.001875,16.333333333333332,mixed
bestfit,42,16,3200,bursty,900000.0,0.4833468586917724,0.8008360584829706,1.9182030934628815,16.864935220796582,47146735394.26205,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.394375,15.0,5.394375,0.1093414595039399,0.29777568922305764,1.3290625,3.0,0.6002676681330742,2931108.890625,0.5547207686002262,0.6558411897949581,0.7645820603896062,1.6715153612584184,1.8337399160677854,64.70020114386267,89128618691.30908,3200,3,0.0009375,16.0,16.0,16.0,3,0.0009375,16.0,mixed
bestfit,99,16,3200,bursty,900000.0,0.45520542340864395,0.8165623797803828,1.8233241345151938,14.813733927230693,47283282041.72277,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.441875,15.0,5.441875,0.11858795003210355,0.3125,1.374375,3.0,0.6201891408279406,3536210.0,0.5267209576228837,0.6036771898789131,0.7826872566704757,1.6154840305558498,1.8092154254849766,67.50000164794926,86155371093.37495,3200,9,0.0028125,19.0,17.22222222222222,19.0,9,0.0028125,17.22222222222222,mixed
bestfit,123,16,3200,bursty,900000.0,0.46922122165933877,0.8087876724873856,1.839549420074584,15.09913319502318,49577835752.7471,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.4059375,15.0,5.4059375,0.11277446989465018,0.30216165413533835,1.3403125,3.0,0.6111889160244633,3018063.609375,0.5329460266888995,0.6191016769451863,0.7786820390248841,1.6392973320793016,1.7969722717451995,61.90746508725275,85584057333.23337,3200,5,0.0015625,19.0,17.4,19.0,5,0.0015625,17.4,mixed
bestfit,2024,16,3200,bursty,900000.0,0.4728287305574204,0.8038814472032622,1.9016078559262493,14.787269030772666,48180402842.99791,1.0,6.072106261859583,6.072106261859583,0.0,16.0,5.6853125,16.0,5.6853125,0.1328613282222404,0.33897243107769426,1.5596875,4.0,0.6145399661439297,3198954.7177734375,0.5534766861609967,0.6282294407510507,0.7654263897113623,1.6307363682563951,1.7395337903830637,59.02403825089413,93247180242.87663,3200,31,0.0096875,21.0,18.548387096774192,21.0,31,0.0096875,18.548387096774192,mixed
bestfit,21,16,3200,mixed,900000.0,0.3861648420700183,0.867497317555907,1.5659268969932245,6.62283907854949,49044432662.269745,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.289375,15.0,5.289375,0.1063554863968271,0.2692669172932331,1.0365625,3.0,0.6510761380595519,2931108.890625,0.4010237962562472,0.47522644768630096,0.8610928014311476,1.5388542510662893,1.6275361966379844,34.16533517276679,55104696519.830574,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,42,16,3200,mixed,900000.0,0.3839371847255858,0.8690899297962454,1.551321720601204,6.506726190454833,49453977562.01112,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.288125,15.0,5.288125,0.10737314067701113,0.2723997493734336,1.025,3.0,0.655382910419189,2785036.609375,0.39503494632397984,0.4444880547747802,0.8646346736802211,1.5318247998464751,1.7344300378000548,28.99322004332528,53908279563.566605,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,99,16,3200,mixed,900000.0,0.3761705457643829,0.8738005606022751,1.5280628702015528,5.985998126512748,48386355941.7638,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.29125,15.0,5.29125,0.10981116271840904,0.27402638190954776,1.03875,3.0,0.6630560989272536,2930362.2236328125,0.3869794169618226,0.4392786817446853,0.869461458487962,1.509797725331158,1.6019468577809777,24.277513126503962,53459931768.275635,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,123,16,3200,mixed,900000.0,0.38386275241481677,0.8689739503401603,1.552575215599446,6.712489399444945,47929525878.38466,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.29,15.0,5.29,0.10992028379380518,0.27371231155778897,1.0478125,3.0,0.6568826836239778,3301134.2236328125,0.39767450833255713,0.4456777229580561,0.8631449351881657,1.5236358660520848,1.6031813805225477,35.20851127656791,55358705450.5795,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,2024,16,3200,mixed,900000.0,0.3918137231520304,0.8646254855379817,1.58174946240859,6.057472961608962,49314995097.385826,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2875,15.0,5.2875,0.10369062978735007,0.2598684210526316,1.0340625,3.0,0.6437957281759289,2931108.890625,0.4053816178058521,0.4733559648436785,0.8584320372735613,1.5545949783587583,1.6383510617247177,26.965144747313406,55273098048.19491,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,21,16,3200,poisson,900000.0,0.38709362339481335,0.8667892039647714,1.5631974832538917,6.808850125160604,49484712010.944336,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.2878125,15.0,5.2878125,0.10927392795618622,0.27292713567839194,1.0490625,3.0,0.6542814037431623,2748251.78125,0.40286990297917213,0.4694664961130586,0.8599888113466643,1.5299343657174465,1.5984817623804886,33.97140569579237,56455404594.530556,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,42,16,3200,poisson,900000.0,0.3890576006949384,0.8658215008491148,1.5697433163054084,7.547081391001646,49421348597.232834,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2909375,15.0,5.2909375,0.10500128663119998,0.2677005012531328,1.0128125,3.0,0.6506666223278806,2748251.78125,0.40523239368245423,0.45611410049297346,0.8585659307025179,1.5379909637134672,1.6243833610341651,36.01554584714703,56463641249.004036,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,99,16,3200,poisson,900000.0,0.38369032294515426,0.8694691900131533,1.5417550173572685,5.739588448663693,49758466792.26231,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2859375,15.0,5.2859375,0.11025378800452995,0.27647243107769426,1.048125,3.0,0.6586133297424401,2930750.796875,0.39526214467217563,0.4550189443110056,0.8645548358323808,1.5203946392353465,1.622409237273865,23.312354720709564,54894144181.12431,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,123,16,3200,poisson,900000.0,0.3895898078659067,0.865919520362744,1.5695332266859763,6.504128432652366,49252178220.24224,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2875,15.0,5.2875,0.10570456317491157,0.2642543859649123,1.024375,3.0,0.6475911963555195,2751108.90625,0.40224798927331706,0.45738659192495246,0.8603572565469007,1.5446196559611156,1.5877046511427775,32.59999407638087,55151172965.173355,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,2024,16,3200,poisson,900000.0,0.3909367110401625,0.8652327178416739,1.568961002410176,6.86700842149105,49620437401.80354,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.2890625,15.0,5.2890625,0.10528096854195096,0.262531328320802,1.010625,3.0,0.6483623239432335,2947411.78125,0.4026369649019791,0.4839746027770667,0.8600040619043496,1.544887237855229,1.6534065207017985,32.758176811928394,55285745919.44658,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,21,16,3200,bursty,900000.0,0.4751824650116144,0.8059001043285858,1.9128382318562271,15.496071244642808,46655471351.02754,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.3990625,15.0,5.3990625,0.12418870504588171,0.3280464824120603,1.3665625,3.0,0.6159197893919058,3079018.91015625,0.5484036962199044,0.6701833150614315,0.7687344986757474,1.6280775166820718,1.8075580139533387,61.900400639776095,91910891205.89914,3200,6,0.001875,17.0,16.333333333333332,17.0,6,0.001875,16.333333333333332,mixed
